	CT-1	CT-2	CT-3	HL-1	HL-2	HL-3	HS-1	HS-2	HS-3	HL_HS-1	HL_HS-2	HL_HS-3
AT1G01010	80	79	78	130	157	138	250	134	109	54	52	67
AT1G01020	385	405	407	611	557	548	936	667	546	181	158	169
AT1G03987	1	1	2	4	4	0	7	0	4	0	0	0
AT1G01030	36	26	34	112	138	69	168	39	61	11	3	13
AT1G01040	1255	1654	1246	1019	1046	728	2391	2080	1679	409	282	377
AT1G03993	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01046	7	6	6	5	3	4	8	10	15	0	1	3
AT1G01050	2173	1655	1978	2288	2184	2224	1595	1541	1690	1855	2172	1939
AT1G03997	0	0	0	1	0	0	0	0	1	0	0	0
AT1G01060	113	353	185	80	136	86	84	526	2840	2145	3003	5211
AT1G01070	45	99	92	46	129	42	74	113	95	31	51	86
AT1G04003	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	4422	4172	4215	5431	5441	4639	2434	1390	1255	1318	1194	1138
AT1G01090	5533	5014	5242	5738	5192	5547	2841	3639	5716	6164	6543	7065
AT1G01100	5169	6321	5507	12333	11142	12499	5929	5908	5220	7044	6551	5930
AT1G01110	65	73	70	37	37	32	130	64	57	16	24	28
AT1G01120	3067	3595	4433	1007	1302	1561	1786	545	724	483	433	842
AT1G01130	41	39	45	48	31	41	45	24	23	24	19	26
AT1G01140	1538	2077	1408	810	1297	747	5862	4679	3493	1059	1953	1368
AT1G01150	8	8	5	2	0	5	1	0	0	1	4	5
AT1G01160	452	462	401	498	657	555	1100	967	574	313	369	362
AT1G04007	13	28	15	16	20	13	32	27	11	6	4	9
AT1G01170	1247	960	1403	948	1174	1064	1139	1007	668	511	435	466
AT1G04013	9	10	7	5	5	1	3	1	7	2	1	0
AT1G01180	353	302	359	62	126	90	204	93	101	48	53	81
AT1G01183	2	1	0	0	2	0	3	1	1	0	0	0
AT1G01190	61	365	234	159	162	301	10	12	29	4	31	16
AT1G01200	43	43	41	70	47	61	25	6	13	11	23	32
AT1G01210	310	409	305	1154	1046	1040	915	865	563	445	288	225
AT1G04017	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01220	1439	1719	1262	1365	1629	1087	1814	1222	763	185	140	253
AT1G04023	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01225	110	95	93	102	84	92	107	65	58	50	56	46
AT1G01230	1076	979	1067	566	636	678	434	266	214	151	155	97
AT1G01240	1481	1169	1550	40	92	87	484	670	490	185	199	235
AT1G01250	138	80	182	423	206	433	103	43	78	103	95	142
AT1G01260	511	602	432	512	473	363	567	244	235	111	83	118
AT1G01270	0	0	0	0	0	0	0	0	0	1	0	0
AT1G01280	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01290	382	422	435	341	436	362	758	406	323	245	145	196
AT1G01300	2305	2728	2344	2330	2019	2103	2338	1189	897	238	343	487
AT1G01305	0	0	0	0	0	0	0	0	9	5	12	12
AT1G01310	0	2	4	0	0	4	22	28	33	33	78	129
AT1G01320	14205	18068	12423	38062	35236	23267	17972	13353	12351	4017	6222	9564
AT1G01335	0	0	0	0	0	0	0	2	1	0	1	0
AT1G01340	126	165	63	199	119	119	104	368	559	232	76	87
AT1G01350	451	521	477	595	656	594	848	821	935	686	459	386
AT1G01355	5	2	3	0	1	2	1	4	5	4	3	1
AT1G01360	408	350	399	225	278	249	497	425	560	644	767	560
AT1G01370	154	128	124	97	94	107	35	20	34	53	46	69
AT1G01380	49	52	64	42	59	61	40	33	24	47	59	57
AT1G01390	109	134	130	80	105	60	37	20	62	83	157	163
AT1G01400	0	0	0	0	0	0	1	0	0	0	0	0
AT1G01410	0	0	0	0	1	0	0	0	0	0	0	1
AT1G01420	350	332	452	292	307	266	334	113	134	117	82	106
AT1G01430	2270	2512	2626	1285	1450	1294	1685	1024	982	324	301	429
AT1G01440	835	734	661	467	470	344	613	501	467	169	114	257
AT1G01448	185	222	173	167	198	211	488	468	315	52	31	63
AT1G01450	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01453	0	0	0	0	0	0	0	2	0	0	0	1
AT1G01460	0	0	0	0	0	1	0	1	0	0	0	0
AT1G01470	8778	5940	11503	4708	4218	6742	4405	8409	6758	4759	2352	1574
AT1G01480	1	7	3	0	1	3	5	4	3	5	12	2
AT1G01490	1055	987	1111	540	634	590	1077	466	742	453	570	898
AT1G01500	896	949	968	992	980	958	991	798	871	714	331	399
AT1G01510	988	1108	1030	972	938	887	1455	1332	1301	814	963	1016
AT1G01520	7	14	8	183	82	109	330	173	244	382	276	318
AT1G01530	1	0	2	0	0	0	2	0	1	6	5	6
AT1G01540	2226	2188	2056	1642	1870	1418	2385	1365	1450	738	380	621
AT1G01550	4877	4934	4731	2736	2650	2300	3985	1830	2723	2140	2306	2406
AT1G01560	145	97	65	30	9	16	11	11	32	27	50	82
AT1G01570	53	44	51	71	98	38	335	55	37	33	10	19
AT1G01580	20	36	29	40	41	60	53	50	23	9	9	14
AT1G01590	7	11	14	22	21	12	5	1	5	1	4	4
AT1G01600	318	183	248	223	237	360	109	104	133	144	363	362
AT1G01610	1739	1551	2014	883	1212	1495	2172	2431	1770	889	1325	1422
AT1G01620	8815	7788	7917	2136	2546	2305	9121	7835	7702	4159	4584	3692
AT1G01630	1723	1932	1817	2477	2547	2393	1244	860	894	653	731	1152
AT1G01640	60	73	62	35	39	49	41	32	43	22	46	30
AT1G01650	1419	1146	1285	1623	1297	1343	1841	1266	1294	646	333	371
AT1G04027	6	4	10	11	10	8	20	6	5	11	2	4
AT1G01660	48	60	51	73	85	86	141	104	66	9	16	17
AT1G01670	93	89	110	117	118	102	181	117	68	15	18	30
AT1G01680	36	51	15	22	14	18	8	4	5	13	33	8
AT1G01690	175	207	191	146	128	122	352	219	151	39	39	59
AT1G01695	16	19	16	12	15	15	55	20	28	1	2	7
AT1G04033	3	2	0	2	1	1	5	4	4	0	0	0
AT1G04037	17	12	14	11	15	13	26	11	11	6	0	4
AT1G01700	104	102	93	67	70	51	203	72	89	18	28	28
AT1G01710	1087	1093	1120	1207	1096	1041	1766	1815	1374	711	697	782
AT1G01715	67	90	81	133	139	178	429	511	306	58	53	26
AT1G04043	0	0	0	0	0	0	0	0	0	0	0	0
